,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordedDate,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q10,Q11,Q12,Q13,Q14,,Q16,Q17,Q18,Q19,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8
Recorded Date,"Please enter your FULL name [Lastname, Firstname]",Do you consider yourself to be (choose one),Do you consider yourself to be (choose one),How would you rate your English writing skills ? (Where 1 is weak and 5 is excellent?),How would you rate your overall programming aptitude? (Where 1 is beginner and 5 is uber-geek?),"If you don't agree with someone about how to do a task on which you MUST work together, what is your typical approach?",Do you consider yourself to be (check all that apply),Rate your skill level with the following technologies - Full Stack Web App Development,Rate your skill level with the following technologies - Data Analytics,Rate your skill level with the following technologies - Machine Learning,Rate your skill level with the following technologies - Database,Rate your skill level with the following technologies - Java,Rate your skill level with the following technologies - Project Management,Rate your skill level with the following technologies - Agile/Scrum,Rate your skill level with the following technologies - Android Mobile App Dev,Rate your skill level with the following technologies - IOS Mobile App Development,Rate your skill level with the following technologies - Blockchain,Rate your skill level with the following technologies - Java Script,Rate your skill level with the following technologies - Git,Select your FIRST project preference,Describe your FIRST preference motivation ... Why do you want to work on this project?,Select your SECOND project preference,Describe your SECOND preference motivation ... Why do you want to work on this project?,Select your THIRD project preference,Describe your THIRD preference motivation ... Why do you want to work on this project?,Select your FOURTH project preference,Describe your FOURTH preference motivation ... Why do you want to work on this project?,Select your FIFTH project preference,Describe your FIFTH preference motivation ... Why do you want to work on this project?,"List the names [Lastname, Firstname] of any student (up to Five)  with whom you would PREFER to be assigned to the same team. - Team Member 1","List the names [Lastname, Firstname] of any student (up to Five)  with whom you would PREFER to be assigned to the same team. - Team Member 2","List the names [Lastname, Firstname] of any student (up to Five)  with whom you would PREFER to be assigned to the same team. - Team Member 3","List the names [Lastname, Firstname] of any student (up to Five)  with whom you would PREFER to be assigned to the same team. - Team Member 4","List the names [Lastname, Firstname] of any student (up to Five)  with whom you would PREFER to be assigned to the same team. - Team Member 5","List the names [Lastname, Firstname] of any student (up to Five)  with whom you would PREFER to NOT be assigned to the same team. - Team Member 1","List the names [Lastname, Firstname] of any student (up to Five)  with whom you would PREFER to NOT be assigned to the same team. - Team Member 2","List the names [Lastname, Firstname] of any student (up to Five)  with whom you would PREFER to NOT be assigned to the same team. - Team Member 3","List the names [Lastname, Firstname] of any student (up to Five)  with whom you would PREFER to NOT be assigned to the same team. - Team Member 4","List the names [Lastname, Firstname] of any student (up to Five)  with whom you would PREFER to NOT be assigned to the same team. - Team Member 5"
2021-08-30 21:56:06,Student_1,Neither -- Borderline,A natural leader,5,5,Try to convince them that my way is better.,"Friendly,Enthusiastic and outgoing",Comfortable,Comfortable,Beginner,Comfortable,Experienced,Experienced,Experienced,Experienced,No Knowledge,No Knowledge,Comfortable,Expert,L3Harris,"This seems like a very technical and interesting project. Most of my experience and interest has been on the systems/networking level, which this seems to suit very well. ",NASA/JPL,"In a similar sense to the first, I like the application of math to this domain, and the project seems fairly interesting. Additionally, I just finished up an internship in Java, so I think I’d be reasonably comfortable with the technologies. ",NASA/JPL,"Sounds interesting, but at this point it’s not a super strong preference. ",iSAT,"Interested in cs education, but at this point it’s not a strong preference. ",Zayo,"Sounds interesting, but at this point it’s not a super strong preference.",,,,,,,,,,
2021-08-30 22:14:29,Student_2,An EXTROVERT,A natural leader,4,3,Work out a compromise,Friendly,Comfortable,Comfortable,No Knowledge,Experienced,Comfortable,Experienced,Comfortable,No Knowledge,No Knowledge,Beginner,Comfortable,Comfortable,Childrens Hospital,As a newly certified EMT I would love the opportunity to continue my education by mixing my computer science and medical skills together to help Children's Hospital as well as learn some new skills with computer graphics.,Caliber Public Safety,I have moved many times over the past 7 years of my life and this sort of project would have been extremely helpful. Knowing how hard it is to find some of this data it would be great to be part of the team to put it all into one place.,Medtronic,The data operations of this project are similar to classes that I have taken and enjoyed during my time at CU so I believe that I would fit well with this project and be able to apply things I have learned.,"Curve-10, # 2",I'm a big baseball fan whose has played fantasy baseball several times throughout my life so I would find this interesting to see how something similar is built and how the data is handled to make a game like this work.,CU Psychology Department,I like the reasoning behind this project and have never built a phone app before so I would find it interesting to see how web design skills transfer to mobile apps while also helping a worthy cause.,,,,,,,,,,
2021-08-30 22:46:03,Student_3,An INTROVERT,A follower,5,4,Try to convince them that my way is better.,Friendly,Comfortable,Comfortable,Comfortable,Experienced,Comfortable,Beginner,Expert,Beginner,No Knowledge,Comfortable,Experienced,Experienced,NASA/JPL,I have always been fascinated by space exploration and NASA. I am also experienced with using data structures and object-oriented programming (in this case Java) so I believe this will be the best fit for me.,Lockheed-Martin,I have experience at the course level and am confident in my skills regarding AI/ML modeling and I feel like this would enhance my experience in it. ,Northrop Grumman,It is a good opportunity to familiarize myself with new technologies and further my AI skills and understanding. ,L3Harris,"This is an interesting project because apart from AI/ML concepts, the concepts of networking are also being used. It would be great for me to display my skills in both of these areas and this project will allow me to do that. ",Medtronic,"I have always wanted to contribute to the medical industry and this would give me the opportunity to do so. I am also extremely passionate about SQL and have real-world work experience with it. This would also further my understanding of Data Science, which is another field I am keen on pursuing after graduation.",,,,,,,,,,
2021-08-31 12:11:55,Student_4,Neither -- Borderline,An effective manager,5,3,Work out a compromise,"Friendly,Enthusiastic and outgoing",Beginner,Experienced,Beginner,Comfortable,Beginner,Comfortable,Beginner,No Knowledge,Beginner,No Knowledge,Beginner,Beginner,Medtronic,"I want to pursue a career in which I can contribute my technical skills and knowledge to the medical field. Medtronic has been on my radar for a while now and I would greatly enjoy getting the opportunity to see what kind of work the company does, and to play a part in helping save lives. I believe I would be a great fit for this project because I have industry experience with leveraging data to build an internal platform that aids employees in understanding how company initiatives are performing.",Childrens Hospital,I have always been interested in working in the medical field because I want my work to help people and save lives. I think this project would be a great fit for me because it allows me to apply my technical knowledge to help build a simulation that can ultimately save lives. I'm also very interested in applying computer graphic skills to a real-world project.,MindBeWell,I'm interested in working on this project because I'd like to learn phone app development skills. Relevant abilities that I have include UX design skills and experience with representing statistical data.,Caliber Public Safety,I think it would be interesting to work on Caliber's Crime Map application to help keep people informed and safe. I have experience with some of the technologies that are currently being used in the Crime Map and I am willing to learn more.,Saga Education,I think it would be interesting to develop an audio/video conferencing solution. I have some frontend web development experience and am willing to learn more about backend development.,,,,,,,,,,
2021-08-31 12:46:00,Student_5,An INTROVERT,A follower,1,4,Avoid conflict. I give in and do it their way.,Shy,Comfortable,Experienced,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,No Knowledge,No Knowledge,No Knowledge,Comfortable,Comfortable,NASA/JPL,"I've been always interested in NASA's mission, and would love to put my research and math skills into use with NASA's JPL.",Congruex,"I'm interested in ML, and would love to practice the knowledge I learned in CSCI 4622 in a real project.",iSAT,It seems like an interesting project. I have some experience with MERN stack which the project uses.,Medtronic,It would be interesting to put my data science skillset to use in medical field.,Zayo,It would be fun to learn more about fiber networks.,,,,,,,,,,
2021-08-31 12:54:42,Student_6,Neither -- Borderline,An effective manager,5,3,Work out a compromise,Friendly,Beginner,Comfortable,Beginner,Comfortable,Beginner,Beginner,Beginner,No Knowledge,No Knowledge,No Knowledge,Comfortable,Comfortable,Childrens Hospital,"As someone who came into college to become a health professional, this project immediately sparked my interest. I was especially excited when I saw that the project was developing a platform to simulate clinical emergency scenarios related to pediatric tracheostomy care. When I was in high school I got the opportunity to practice tracheostomies on dummies when I was a part of the Explorer post--a volunteer organization run through a local fire department that allowed high schoolers to ride along on ambulances during emergency response efforts and learn about first responders. I also worked with computer graphics this summer as an intern for Garmin! I would love to work on the Children's hospital project so that I can combine my love for computer science, medicine and computer graphics!",Medtronic,"As someone who came into college to become a health professional, this project also sparked my interest. This past summer at my internship with Garmin, I enjoyed collaborating with the software quality team that used data from field testers to improve products. I would love to combine my interest in AI, medicine and data science with my experience in communication, SQL, Python and git to contribute to Medtronic's project.",MindBeWell,"As someone who is a fan of holistic health, this project spoke to me. I also am interested in front end software development that includes UX design. I have never developed for android, but have always wanted to learn!",Caliber Public Safety,"My main academic interest other than computer science is geography and GIS. This project caught my interest because I would get to work with crime data maps! I would like to combine my knowledge in SQL, javascript, and python and interest in software mapping to contribute to this project.",Saga Education,Last school year I was a virtual tutor and even taught math (calculus 1) to a couple students. I wish I had a better program to work with to effectively tutor students! I also am interested in front-end development which was listed as a part of this project!,,,,,,,,,,
2021-08-31 13:52:37,Student_7,Neither -- Borderline,A natural leader,4,3,Work out a compromise,"Shy,Friendly",Comfortable,Experienced,Beginner,Comfortable,Experienced,Experienced,Experienced,No Knowledge,Beginner,No Knowledge,Experienced,Experienced,NASA/JPL,"I am a HUGE space nerd, and I absolutely love the idea of working for NASA on this project. I follow many of NASA’s projects and have always wanted to work for them. I have taken many astrophysics courses here at CU including 'Search for Life in the Universe' and 'Black Holes'. These courses have discussed many of the instruments NASA’s spacecrafts use such as visible spectrum cameras, infrared cameras and mass spectrometers. I believe having some background knowledge about these spacecrafts and how they work will be beneficial to my team and I. It would be amazing to see and work with the data coming from these spacecrafts to create these resolution maps and calculate surface coverage. I meet all the requirements, and I can bring a lot of passion and drive to this project. ",UCAR,"This project is so important in light of the climate crisis we face today. Not only will this project help others become more aware of the effect their lifestyle choices have on the environment, but it will help me become more aware as well. I have been to and used the original exhibit in the NCAR visitor center, so working to update and translate this into a web application would be a super valuable experience. I had an internship this past summer working with a web application that uses many of the same frameworks this project does, so I can bring a lot of web development knowledge and passion to this project. ",Trimble Cloud,"Geofencing is such an up and coming concept that I haven’t had the chance to work with, but would love the opportunity to. Working to chain various different events and actions together into a cohesive project seems very satisfying and fun. When it comes to web development, I really enjoy working on the front end to create an aesthetic and intuitive UI, so the UI component of this project is appealing to me. I have experience in all the requirements for this project and a desire to learn and work with geofencing.",iSAT,"This project is very unique and would be a great opportunity to get experience with real world AI projects. I enjoy working with web development and data analytics, and this project seems like a great mix of both. I have taken various data science type classes, and I am pursuing a minor in business analytics. This project would allow me to utilize all my knowledge and put it towards a project that could be really beneficial for students and teachers. I am familiar with many of the technologies and tools iSAT uses, and I meet most of the skill requirements. The few requirements I don’t meet and I am willing to learn as I go.",Congruex,"After reading this project description, I am personally curious about what the outcome of this predictive model will look like, especially after we discussed in lecture the reasons why many projects fail. I enjoy working with web development and data analytics, and this project seems like a great mix of both. I have taken various data science type classes, and I am pursuing a minor in business analytics. This project would allow me to utilize all my knowledge and put it towards a project that could provide valuable insight and satisfy my curiosity. I am also familiar with many of the technologies that were mentioned that would be useful for this project.",,,,,,,,,,
2021-08-31 13:57:41,Student_8,An EXTROVERT,"A natural leader,An effective manager",4,4,Work out a compromise,"Friendly,Enthusiastic and outgoing",Experienced,Experienced,Beginner,Expert,Expert,Expert,Experienced,Experienced,Experienced,No Knowledge,Comfortable,Experienced,NASA/JPL,I really think the project is interesting and I want to work on a project written in Java.it would be really cool to work on this project I think my skillset is good for this project.,"BI Inc., #2",Vr sounds very interesting and I would love to learn about vr development,Union Pacific PST,,Medtronic,,Lockheed-Martin,,,,,,,,,,,
2021-08-31 14:33:51,Student_9,An EXTROVERT,A natural leader,4,5,Work out a compromise,Friendly,Experienced,Comfortable,Beginner,Experienced,Beginner,Experienced,Experienced,Beginner,Comfortable,Beginner,Experienced,Experienced,UCAR,It seems interesting creating visualizations for peoples impacts on climate change. I want to work on a project that contains an actual deliverable more than just a prototype.,Northrop Grumman,I am interested in the work NG does. I have experience in Quantum Computing (took a class last semester). I also like the application of embedded systems.,L3Harris,Lately I have been interested in data collection / pipelining and methods of doing that. I like the flexibility the project provides. I also have interest in Spacecraft / Rocketry.,CU E-BIO Department,Looks like a neat project.,"BI Inc., #1",More embedded systems stuff looks cool. It seems like an interesting R&D type project.,,,,,,,,,,
